product_id,product_name,category,subcategory,brand,base_price,unit_cost,base_margin,stock_quantity,reorder_point,launch_date,discontinue_date,is_active,weight_kg
PRD0259,Google Smart Lock 7,SMART HOME,Home Security,Google,205900,151900,0.262,6,12,2023-08-06,,yes,6.78
PRD0110,Samsung WF-Series 9,Audio,In-Ear Earbuds,Samsung,42400,30700,0.276,12,20,2022-01-05,2023-10-11,False,1.52
PRD0091,ASUS FlatronW 7,Laptops & Computers,Monitors,ASUS,1090900,905300,0.17,-3,20,2023-08-28,,True,0.63
PRD0149,Sony EOS 5,Cameras & Photography,DSLR Cameras,Sony,593900,540200,0.09,93,15,2023-10-17,,True,2.06
PRD0389,Belkin GaN Charger 7,Mobile Accessories,Chargers & Cables,Belkin,19500,9900,0.491,105,20,2023-06-18,,true,2.17
PRD0164,Canon Battery Pack 5,Cameras & Photography,Camera Accessories,Canon,₩105900,63600,0.4,42,15,2020-03-28,2022-12-15,False,6.9
PRD0031,Apple Clear Shield 5,Smartphones & Tablets,phone cases,Apple,29700,15000,0.494,72,20,2020-11-28,,1,2.17
PRD0115,AKG SRS-XB 7,Audio,Bluetooth Speakers,AKG,106900,81900,0.234,22,20,2021-8-13,,TRUE,2.69
PRD0209,Logitech Steam Deck 9,Gaming,Gaming Consoles,Logitech,382300,337000,0.119,49,10,2023-01-10,,True,4.65
PRD0243,Xiaomi Smart Lock 5,Smart Home,Home Security,Xiaomi,298400,221100,0.259,39,12,2020-10-07,,True,1.57
PRD0121,JBL WH-1000X 3,Audio,Over-Ear Headphones,JBL,496500,342300,0.311,13,20,2021-03-24,,True,0.83
PRD0336,TCL Streaming Stick 5,TV and Displays,TV Accessories,TCL,53600,31000,0.421,16,5,2019-08-07,,True,6.31
PRD0289,Samsung Watch Ultra 1,Wearables,Smartwatches,Samsung,222600,172300,0.226,50,12,2020-01-18,,True,6.31
PRD0279,Garmin RayBan Meta 9,Wearables,Smart Glasses,Garmin,347900,268500,0.228,55,12,2021-11-02,,True,8.12
PRD0369,ESR GaN Charger 11,Mobile Accessories,Chargers & Cables,ESR,60700,33700,0.445,62,20,2023-08-16,,true,3.77
PRD0229,Samsung Galaxy Home 7,Smart Home,Smart Speakers,Samsung,92100,61400,33.3%,55,12,2019-01-23,2023-07-21,False,2.85
PRD0052,XIAOMI ULTRA CLEAR 10,Smartphones & Tablets,Screen Protectors,Xiaomi,22900,13700,0.404,55,20,2023-10-13,,True,2.57
PRD0160,Sony Camera Bag 10,Cameras & Photography,Camera Accessories,Sony,298100,211300,0.291,123,15,2023-01-03,,1,3.12
PRD0139,JBL SoundLink 11,Audio,Bluetooth Speakers,JBL,214100,158700,0.259,92,20,2022-02-10,,True,6.74
PRD0320,LG Wall Mount 8,TV & Displays,TV Accessories,LG,11800,6300,0.469,5,5,2021-06-09,,True,2.94
PRD0262,Fitbit Mi Band 7,Wearables,Fitness Bands,Fitbit,36400,23600,0.353,33,12,2022-05-28,,True,2.27
PRD0239,LG Video Doorbell 5,Smart Home,Home Security,LG,70000,50800,0.274,35,12,2019-07-09,,True,6.66
PRD0319,LG BenQ Home 8,TV & Displays,Projectors,LG,1523400,1328300,0.128,23,5,2021-08-26,,True,6.46
